Usage,Num,Class
train,0001,1
train,0002,1
train,0003,1
train,0004,1
train,0005,1
train,0006,1
train,0007,1
train,0008,1
train,0009,1
train,0010,1
train,0011,1
train,0012,1
train,0013,1
train,0014,1
train,0015,1
train,0016,1
train,0017,1
train,0018,1
train,0019,1
train,0020,1
train,0021,1
train,0022,1
train,0023,1
train,0024,0
train,0025,0
train,0026,0
train,0027,0
train,0028,0
train,0029,0
train,0030,0
train,0031,0
train,0032,0
train,0033,0
train,0034,0
train,0035,0
train,0036,0
train,0037,0
train,0038,0
train,0039,0
train,0040,0
train,0041,0
train,0042,0
train,0043,0
train,0044,0
train,0045,0
train,0046,0
train,0047,0
train,0048,0
train,0049,0
